Age,Species,Day,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
1 month,Cnat,7,1,2mm,dead,0,2,0.0,0.0,hard to see - no zoox
1 month,Cnat,7,1,4mm,dead,2,2,1.0,1.0,
1 month,Cnat,7,2,control,dead,0,1,0.0,0.0,
1 month,Cnat,7,2,2mm,dead,0,1,0.0,0.0,
1 month,Cnat,7,2,4mm,dead,1,1,1.0,1.0,
1 month,Cnat,7,3,control,dead,0,7,0.0,0.0,hard to see - no zoox
1 month,Cnat,7,3,2mm,dead,0,3,0.0,0.0,
1 month,Cnat,7,3,4mm,dead,2,7,0.3,0.0,two dead were solidary
1 month,Cnat,7,4,control,dead,0,15,0.0,0.0,
1 month,Cnat,7,4,2mm,dead,4,10,0.4,0.0,alive were healthy
1 month,Cnat,7,4,4mm,dead,7,7,1.0,1.0,"decaying tissue inside skeleton, example photo"
1 month,Pstr,10,1,control,dead,0,32,0.0,0.0,healthy
1 month,Pstr,10,1,2mm,dead,13,16,0.8,1.0,3 live look healthy
1 month,Pstr,10,1,4mm,dead,22,22,1.0,1.0,
1 month,Pstr,10,2,control,dead,1,3,0.3,0.0,"2 healthy, 1 retracted"
1 month,Pstr,10,2,2mm,dead,0,3,0.0,0.0,"4 live, retracted"
1 month,Pstr,10,2,4mm,dead,4,4,1.0,1.0,
1 month,Pstr,10,3,control,dead,0,9,0.0,0.0,"5 retracted, 5 healthy"
1 month,Pstr,10,3,2mm,dead,2,9,0.2,0.0,"2 retracted, 6 healthy"
1 month,Pstr,10,3,4mm,dead,11,11,1.0,1.0,
1 month,Pstr,10,4,control,dead,0,26,0.0,0.0,all but 2 extremely retracted
1 month,Pstr,10,4,2mm,dead,0,15,0.0,0.0,"all alive, but retracted"
1 month,Pstr,10,4,4mm,dead,1,17,0.1,0.0,"cluster of 16 live, one solutary dead"
1 month,Ofav,10,1,control,dead,3,101,0.0,0.0,"no zoox, hard to see health status"
1 month,Ofav,10,1,2mm,dead,3,124,0.0,0.0,live look okay
1 month,Ofav,10,1,4mm,dead,36,38,0.9,1.0,"2 live healthy, 1 live losing tissue"
1 month,Ofav,10,2,control,dead,6,230,0.0,0.0,"4 dead tissue loss, 80% live look healthy"
1 month,Ofav,10,2,2mm,dead,70,81,0.9,1.0,live look okay
1 month,Ofav,10,2,4mm,dead,31,31,1.0,1.0,
1 month,Ofav,10,3,control,dead,0,74,0.0,0.0,all live healthy
1 month,Ofav,10,3,2mm,dead,17,62,0.3,0.0,"2 clump dead, 5 clumps live, 1 clump half live/half dead, live 80% healthy"
1 month,Ofav,10,3,4mm,dead,78,78,1.0,1.0,
1 month,Ofav,10,4,control,dead,0,13,0.0,0.0,all live look healthy
1 month,Ofav,10,4,2mm,dead,5,5,1.0,1.0,"tile wrong on diagram, lixed with Day 2 C"
1 month,Ofav,10,4,4mm,dead,19,25,0.8,1.0,"2 clump live, 1 clump dead, live look okay"
1 month,Cnat,10,1,control,dead,0,1,0.0,0.0,"no zoox, hard to tell health"
1 month,Cnat,10,1,2mm,dead,0,1,0.0,0.0,retracted
1 month,Cnat,10,1,4mm,dead,0,1,0.0,0.0,"no zoox, hard to tell health"
1 month,Cnat,10,2,control,dead,0,2,0.0,0.0,both retracted
1 month,Cnat,10,2,2mm,dead,0,5,0.0,0.0,"all live, one live shrinking (dead?)"
1 month,Cnat,10,2,4mm,dead,0,2,0.0,0.0,retracted
1 month,Cnat,10,3,control,dead,0,10,0.0,0.0,"no zoox, hard to tell health, couple look retracted"
1 month,Cnat,10,3,2mm,dead,1,10,0.1,0.0,half live retracted
1 month,Cnat,10,3,4mm,dead,11,11,1.0,1.0,
1 month,Cnat,10,4,control,dead,0,7,0.0,0.0,extremely retracted
1 month,Cnat,10,4,2mm,dead,1,9,0.1,0.0,"correction: 9 before?, 1? dead 10% tissue left? Should look at Day 0 photo to compare"
1 month,Cnat,10,4,4mm,dead,4,9,0.4,0.0,2 live 50% tissue loss/dying
