Size_cm,Species,Genotype,Treatment,Treatment_n,Day,Replicate,Status,Status_bi,Notes
2,Ofav,F,2mm,2,7,3,dead,1,
1,Ofav,F,4mm,4,7,3,alive,0,partial mortality (~60%)
1.5,Ofav,F,control,0,7,3,alive,0,
2,Ofav,F,control,0,7,4,alive,0,
1,Ofav,F,2mm,2,7,4,dead,1,
1.5,Ofav,F,4mm,4,7,4,dead,1,
1.5,Ofav,B,2mm,2,7,5,dead,1,
2,Ofav,B,4mm,4,7,5,dead,1,
1,Ofav,B,control,0,7,5,alive,0,
1,Ofav,B,4mm,4,7,6,dead,1,
1.5,Ofav,B,control,0,7,6,alive,0,
2,Ofav,B,2mm,2,7,6,dead,1,
1.5,Ofav,C,4mm,4,7,7,dead,1,
2,Ofav,C,control,0,7,7,alive,0,
1,Ofav,C,2mm,2,7,7,dead,1,
1,Ofav,A,control,0,7,8,alive,0,
1.5,Ofav,A,2mm,2,7,8,dead,1,
2,Ofav,A,4mm,4,7,8,dead,1,
2,Ofav,B,2mm,2,7,9,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
1,Ofav,B,4mm,4,7,9,dead,1,
1.5,Ofav,B,control,0,7,9,alive,0,
2,Ofav,A,control,0,7,10,alive,0,
1,Ofav,A,2mm,2,7,10,dead,1,
1.5,Ofav,A,4mm,4,7,10,dead,1,
1.5,Ofav,F,2mm,2,7,11,alive,0,<1mm max height of coral sticking above sediment on day 0
2,Ofav,F,4mm,4,7,11,dead,1,
1,Ofav,F,control,0,7,11,alive,0,
1,Ofav,E,4mm,4,7,12,dead,1,
1.5,Ofav,E,control,0,7,12,alive,0,
2,Ofav,E,2mm,2,7,12,alive,0,1mm max height of coral sticking above sediment on day 0; partial mortality (~70%)
1.5,Ofav,F,control,0,10,1,alive,0,
2,Ofav,F,2mm,2,10,1,alive,0,partial mortality (~80%)
1,Ofav,F,4mm,4,10,1,dead,1,
1.5,Ofav,B,4mm,4,10,2,dead,1,
2,Ofav,B,control,0,10,2,alive,0,
1,Ofav,B,2mm,2,10,2,dead,1,
1,Ofav,A,control,0,10,3,alive,0,
1.5,Ofav,A,2mm,2,10,3,alive,0,
2,Ofav,A,4mm,4,10,3,dead,1,
2,Ofav,E,2mm,2,10,4,dead,1,
1,Ofav,E,4mm,4,10,4,dead,1,
1.5,Ofav,E,control,0,10,4,alive,0,
1.5,Ofav,A,4mm,4,10,5,dead,1,
2,Ofav,A,control,0,10,5,alive,0,
1,Ofav,A,2mm,2,10,5,alive,0,
1.5,Ofav,F,2mm,2,10,6,dead,1,
2,Ofav,F,4mm,4,10,6,dead,1,
1,Ofav,F,control,0,10,6,alive,0,
1.5,Ofav,B,control,0,10,7,alive,0,
2,Ofav,B,2mm,2,10,7,dead,1,
1,Ofav,B,4mm,4,10,7,alive,0,partial mortality (~30%)
1.5,Ofav,D,4mm,4,10,8,dead,1,
2,Ofav,D,control,0,10,8,alive,0,
1,Ofav,D,2mm,2,10,8,dead,1,
1,Ofav,E,control,0,10,9,alive,0,
1.5,Ofav,E,2mm,2,10,9,dead,1,
2,Ofav,E,4mm,4,10,9,dead,1,
2,Ofav,F,2mm,2,10,10,dead,1,
1,Ofav,F,4mm,4,10,10,dead,1,
1.5,Ofav,F,control,0,10,10,alive,0,
1.5,Ofav,A,4mm,4,10,11,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
2,Ofav,A,control,0,10,11,alive,0,
1,Ofav,A,2mm,2,10,11,dead,1,
1.5,Ofav,B,2mm,2,10,12,alive,0,"barely alive, mostly dead, surviving polyps extremely receded"
2,Ofav,B,4mm,4,10,12,dead,1,
1,Ofav,B,control,0,10,12,alive,0,
