Age,Species,Day,SurveyDay,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
3 month,Cnat,2,2,1,2mm,dead,0,9,0,0,
3 month,Cnat,2,2,2,2mm,dead,0,15,0,0,half of them tentscles retracted
3 month,Cnat,2,2,2,4mm,dead,0,19,0,0,
3 month,Cnat,2,2,2,control,dead,0,22,0,0,majority of tentacles retracted
3 month,Cnat,2,2,3,4mm,dead,0,3,0,0,tentacles retracted
3 month,Cnat,2,2,3,control,dead,0,6,0,0,tentacles retracted except bottom one
3 month,Cnat,2,2,3,2mm,dead,1,2,0.5,1,
3 month,Cnat,2,2,4,2mm,dead,0,1,0,0,
3 month,Cnat,2,2,4,4mm,dead,1,4,0.3,0,tissue receding on all
3 month,Cnat,2,2,4,control,dead,0,6,0,0,
3 month,Ofav,2,2,1,4mm,dead,2,2,1,1,
3 month,Ofav,2,2,1,control,dead,0,5,0,0,
3 month,Ofav,2,2,1,2mm,dead,0,4,0,0,barely
3 month,Ofav,2,2,2,2mm,dead,2,2,1,1,tissue melting off
3 month,Ofav,2,2,2,4mm,dead,1,2,0.5,1,
3 month,Ofav,2,2,2,control,dead,0,2,0,0,tentacles slightly retracted
3 month,Pstr,2,2,1,4mm,dead,1,2,0.5,1,
3 month,Pstr,2,2,1,control,dead,0,3,0,0,
3 month,Pstr,2,2,1,2mm,dead,1,2,0.5,1,smaller one barely alive
3 month,Pstr,2,2,2,2mm,dead,0,4,0,0,"tentacles slightly retracted, alive but not great"
3 month,Pstr,2,2,2,4mm,dead,1,4,0.3,0,will prob be dead in follow up
3 month,Pstr,2,2,2,control,dead,0,4,0,0,
3 month,Pstr,2,2,3,4mm,dead,5,20,0.3,0,tentacles retracted on vest
3 month,Pstr,2,2,3,control,dead,0,6,0,0,
3 month,Pstr,2,2,3,2mm,dead,3,16,0.2,0,"tentacles slightly retracted, top cluster healthier"
3 month,Pstr,2,2,4,2mm,dead,0,1,0,0,
3 month,Pstr,2,2,4,4mm,dead,1,1,1,1,
3 month,Pstr,2,2,4,control,dead,0,1,0,0,
3 month,Cnat,3,3,1,control,dead,6,17,0.4,0,
3 month,Cnat,3,3,1,2mm,dead,18,18,1,1,
3 month,Cnat,3,3,1,4mm,dead,10,12,0.8,1,
3 month,Cnat,3,3,2,4mm,dead,0,10,0,0,
3 month,Cnat,3,3,2,control,dead,0,6,0,0,
3 month,Cnat,3,3,2,2mm,dead,4,5,0.8,1,
3 month,Cnat,3,3,3,2mm,dead,0,5,0,0,
3 month,Cnat,3,3,3,4mm,dead,3,3,1,1,
3 month,Cnat,3,3,3,control,dead,1,2,0.5,1,
3 month,Cnat,3,3,4,control,dead,4,4,1,1,
3 month,Cnat,3,3,4,2mm,dead,0,7,0,0,
3 month,Cnat,3,3,4,4mm,dead,1,2,0.5,1,slightly receding but looks healthy
3 month,Pstr,3,3,1,control,dead,0,6,0,0,slightly receding but looks healthy
3 month,Pstr,3,3,1,2mm,dead,1,4,0.3,0,"one looks healthy, others tissue receding"
3 month,Pstr,3,3,1,4mm,dead,2,2,1,1,
3 month,Pstr,3,3,2,4mm,dead,3,3,1,1,
3 month,Pstr,3,3,2,control,dead,0,2,0,0,"slightly receding, but look healthy"
3 month,Pstr,3,3,2,2mm,dead,2,2,1,1,
3 month,Pstr,3,3,3,4mm,dead,1,1,1,1,
3 month,Pstr,3,3,3,control,dead,2,2,1,1,tissue actively sloughing off
3 month,Pstr,3,3,3,2mm,dead,2,2,1,1,check photos to make sure right tile
3 month,Pstr,3,3,4,control,dead,0,4,0,0,healthy
3 month,Pstr,3,3,4,2mm,dead,0,3,0,0,"slight tissue receding, but look okay"
3 month,Pstr,3,3,4,4mm,dead,6,6,1,1,
3 month,Ofav,3,3,1,control,dead,0,19,0,0,healthy
3 month,Ofav,3,3,1,2mm,dead,9,13,0.7,1,"live look healthy, one is neighboring active tissue loss"
3 month,Ofav,3,3,1,4mm,dead,44,44,1,1,
3 month,Ofav,3,3,2,4mm,dead,2,2,1,1,
3 month,Ofav,3,3,2,control,dead,3,4,0.8,1,live U/R
3 month,Ofav,3,3,2,2mm,dead,2,2,1,1,
3 month,Cnat,5,5,1,2mm,dead,0,10,0,0,slight tissue receding
3 month,Cnat,5,5,1,4mm,dead,7,7,1,1,
3 month,Cnat,5,5,1,control,dead,7,7,1,1,ciliates (or some bug) consuming tissue
3 month,Cnat,5,5,2,control,dead,12,12,1,1,covered w/ algal film
3 month,Cnat,5,5,2,2mm,dead,1,11,0.1,0,slight tissue receding but healthy
3 month,Cnat,5,5,2,4mm,dead,5,5,1,1,
3 month,Cnat,5,5,3,4mm,dead,15,15,1,1,
3 month,Cnat,5,5,3,control,dead,2,10,0.2,0,U/R algal overgrown
3 month,Cnat,5,5,3,2mm,dead,7,9,0.8,1,dead actively decomposing
3 month,Cnat,5,5,4,control,dead,0,5,0,0,slight tissue receding
3 month,Cnat,5,5,4,2mm,dead,2,3,0.7,1,"alive slight tissue receding, but looks good"
3 month,Cnat,5,5,4,4mm,dead,6,6,1,1,
3 month,Pstr,5,5,1,2mm,dead,0,2,0,0,slight tissue receding
3 month,Pstr,5,5,1,4mm,dead,5,5,1,1,all decomposing
3 month,Pstr,5,5,1,control,dead,0,3,0,0,healthy
3 month,Pstr,5,5,2,control,dead,0,2,0,0,healthy
3 month,Pstr,5,5,2,2mm,dead,2,2,1,1,
3 month,Pstr,5,5,2,4mm,dead,3,4,0.8,1,"dead actively decomposing, live U/R"
3 month,Pstr,5,5,3,2mm,dead,0,4,0,0,slight tissue receding but healthy
